Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Mon Aug 27 10:03:52 +0000 2018,Florida shooting: Video gamers killed by rival at tournament https://t.co/SWoWDfalhR,0.0,0.667,0.333,-0.6705,64
BBCWorld,Mon Aug 27 09:50:20 +0000 2018,Thieves replace Paraguay police rifles with toy replicas https://t.co/Xcvahi2DIt,0.0,0.708,0.292,-0.5106,65
BBCWorld,Mon Aug 27 09:24:10 +0000 2018,"RT @BBCSport: ""A deafening silence of 43 minutes, one for each child, worker, student, father or mother who are no longer with us today"".…",0.0,0.833,0.167,-0.5267,66
BBCWorld,Mon Aug 27 09:20:59 +0000 2018,Pope 'moved and shocked' by meetings with abuse victims https://t.co/8qhy7aOnbY,0.0,0.443,0.557,-0.8316,67
BBCWorld,Mon Aug 27 09:16:34 +0000 2018,Witnesses describe the moment a gunman opened fire at a video game tournament in Florida https://t.co/6QO8xL4rxG https://t.co/641SiGPsgI,0.0,0.854,0.146,-0.34,68
BBCWorld,Mon Aug 27 08:57:39 +0000 2018,🚲🚲🚲 https://t.co/vuFW9P7pcS,0.0,1.0,0.0,0.0,69
BBCWorld,Mon Aug 27 07:57:46 +0000 2018,Australia: Crocodile swamp search a 'people smuggling' case https://t.co/SbCGKio3C4,0.0,0.693,0.307,-0.4767,70
BBCWorld,Mon Aug 27 07:46:48 +0000 2018,"RT @bbcworldservice: ""I hope he doesn't come in here because, if he does, then I'm going to die"" 
A survivor of the shooting in Jacksonvill…",0.178,0.693,0.129,0.128,71
BBCWorld,Mon Aug 27 07:36:42 +0000 2018,"Myanmar military leaders must face genocide charges, says UN https://t.co/U28aXtAFO9",0.0,0.811,0.189,-0.2732,72
BBCWorld,Mon Aug 27 07:28:37 +0000 2018,UK wife killer to be repatriated to India https://t.co/XYOgGNrAfv,0.0,0.65,0.35,-0.6486,73
BBCWorld,Mon Aug 27 02:39:28 +0000 2018,North Korea grants humanitarian release to Japanese tourist https://t.co/PNkDSuhbAg,0.192,0.808,0.0,0.2263,74
BBCWorld,Mon Aug 27 02:24:00 +0000 2018,Pope keeps silent on abuse claim letter at end of Irish visit https://t.co/Ni1gxFxWZR,0.0,0.741,0.259,-0.6369,75
BBCWorld,Mon Aug 27 01:27:15 +0000 2018,Myanmar Reuters journalists Wa Lone and Kyaw Soe Oo await verdict https://t.co/rccFV47cQz,0.213,0.638,0.149,-0.0258,76
BBCWorld,Mon Aug 27 00:53:25 +0000 2018,Colombia anti-corruption referendum fails to meet quorum https://t.co/ClpuO5E6y7,0.0,0.714,0.286,-0.4215,77
BBCWorld,Sun Aug 26 23:14:45 +0000 2018,Sri Lanka mass grave: Dozens of skeletons found in Mannar https://t.co/dyAjh9g8Fu,0.0,0.794,0.206,-0.3818,78
