Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
CNN,Tue Aug 28 15:40:02 +0000 2018,Health care was the top issue referenced in campaign advertisements ahead of the US Senate primaries in Arizona and… https://t.co/YagPGvkDrO,0.217,0.783,0.0,0.6124,77
CNN,Tue Aug 28 15:30:07 +0000 2018,"Gun-related homicides and suicides kill more people than war, according to a study https://t.co/7FbypECrPV https://t.co/W8TASiHtz6",0.0,0.575,0.425,-0.8709,78
CNN,Tue Aug 28 15:20:07 +0000 2018,"Top North Korean officials warned the United States in a letter that denuclearization talks are ""again at stake and… https://t.co/OKsCGQfR8T",0.203,0.705,0.093,0.3612,79
CNN,Tue Aug 28 15:10:06 +0000 2018,"President Trump has renewed his claims of bias against conservatives on the internet, accusing Google of rigging it… https://t.co/ssseAw7Hm9",0.0,0.846,0.154,-0.2732,80
CNN,Tue Aug 28 15:00:09 +0000 2018,"The Vatican knew of a cover-up involving abusive priests, Pennsylvania attorney general says https://t.co/D6enW5xMa6 https://t.co/aBHmDtGfvM",0.0,0.652,0.348,-0.7506,81
CNN,Tue Aug 28 15:00:00 +0000 2018,"He competes in kitesurfing competitions around the world, making a name for himself and the place where he was rais… https://t.co/zJ6pt7xLDO",0.0,1.0,0.0,0.0,82
CNN,Tue Aug 28 14:50:06 +0000 2018,The shooter who killed two people and wounded 10 others before taking his own life at an e-sports tournament in Jac… https://t.co/VL1TpNUrl6,0.0,0.824,0.176,-0.6705,83
CNN,Tue Aug 28 14:40:11 +0000 2018,A mother and her lawyers allege that ICE and those running an immigration facility in Texas provided substandard me… https://t.co/wVGzMxKjmV,0.0,1.0,0.0,0.0,84
CNN,Tue Aug 28 14:32:16 +0000 2018,"After living her entire life with cystic fibrosis, Claire Wineland worked hard to get on the lung transplant list,… https://t.co/Og0bQoczMb",0.0,0.931,0.069,-0.1027,85
CNN,Tue Aug 28 14:18:03 +0000 2018,Debunking President Trump's latest conspiracy theory on Google | Analysis by @CillizzaCNN https://t.co/RxBkwb5WGy https://t.co/Umo9W4dg30,0.0,0.779,0.221,-0.5267,86
CNN,Tue Aug 28 14:05:47 +0000 2018,GoPro CEO Nick Woodman says the company hasn't been hit by President Trump's tariffs against China yet -- but they… https://t.co/lkRqCiMoXJ,0.0,1.0,0.0,0.0,87
CNN,Tue Aug 28 13:55:52 +0000 2018,"RT @CNNnewsroom: ""To understand Aretha, is to understand your soul"" - Fans line up to pay respects to Aretha Franklin https://t.co/WD9dNwR5…",0.106,0.829,0.065,0.2263,88
CNN,Tue Aug 28 13:51:00 +0000 2018,"This South African master of movement is inspiring people to look into themselves, which may give them greater appr… https://t.co/UF5LbtDanb",0.227,0.773,0.0,0.6486,89
CNN,Tue Aug 28 13:40:09 +0000 2018,"Sen. Lindsey Graham says President Trump's relationship with Jeff Sessions is ""beyond repair"" and suggests that the… https://t.co/LuKuTB3s1E",0.0,1.0,0.0,0.0,90
CNN,Tue Aug 28 13:31:52 +0000 2018,"Odell Beckham, Jr. just became the highest-paid wide receiver in the NFL https://t.co/awVUOww8gn https://t.co/JQoJW0Lldh",0.0,1.0,0.0,0.0,91
CNN,Tue Aug 28 13:30:14 +0000 2018,"Florida and Arizona are holding primaries today, teeing up the House and Senate races that will be critical to the… https://t.co/jfKoiyMouV",0.0,0.897,0.103,-0.3182,92
CNN,Tue Aug 28 13:20:10 +0000 2018,"Air pollution could be more damaging to our health than previously thought, according to a new study, which found t… https://t.co/XJeaYvk0SY",0.0,0.841,0.159,-0.5563,93
CNN,Tue Aug 28 13:10:04 +0000 2018,"The Chinese government could be moving to end birth restrictions, amid growing concerns over an aging population an… https://t.co/bO2IHRgi8P",0.086,0.914,0.0,0.1779,94
CNN,Tue Aug 28 13:00:10 +0000 2018,Hurricane Lane dumped 52 inches of rain on Hawaii and there might be more on the way https://t.co/kCfMyMJKQe https://t.co/xykgJcGmQz,0.0,0.87,0.13,-0.4019,95
CNN,Tue Aug 28 12:50:09 +0000 2018,US airlines are struggling to make money from China's travel boom https://t.co/xdlqLXqq18 https://t.co/mHsZurZbR3,0.0,0.811,0.189,-0.4215,96
CNN,Tue Aug 28 12:40:53 +0000 2018,Republican Sen. Johnny Isakson: “Anybody who any way tarnishes the reputation of John McCain deserves a whipping...… https://t.co/TqUNPH7NRn,0.0,1.0,0.0,0.0,97
CNN,Tue Aug 28 12:30:00 +0000 2018,"This is the most valuable car ever auctioned. The 1962 Ferrari 250 GTO sold for $48.4 million, including auction fe… https://t.co/bNYofHzD9U",0.145,0.855,0.0,0.5256,98
CNN,Tue Aug 28 12:20:05 +0000 2018,"Top North Korean officials warned the United States in a letter that denuclearization talks are ""again at stake and… https://t.co/BD2h4Owm7P",0.203,0.705,0.093,0.3612,99
CNN,Tue Aug 28 12:10:09 +0000 2018,Arizona and Florida show how tough the Senate map is for Democrats | Analysis by @ForecasterEnten… https://t.co/PxXc0egMhG,0.0,0.909,0.091,-0.128,100
FoxNews,Tue Aug 28 23:38:00 +0000 2018,".@MZHemingway on NC redistricting ruling: ""It throws the entire state into chaos and it disenfranchises an entire s… https://t.co/MclIbutDdK",0.0,0.829,0.171,-0.5719,1
FoxNews,Tue Aug 28 23:34:20 +0000 2018,"Brett Kavanaugh backed by Bob Bennett, Bill Clinton's Paula Jones-era lawyer. (via @nicoledarrah) https://t.co/ifUt1PuDVh",0.078,0.922,0.0,0.0258,2
FoxNews,Tue Aug 28 23:28:45 +0000 2018,Toddler's death after leaving immigration facility leads to $40 million legal claim. https://t.co/H2dXw2vJuI,0.091,0.671,0.238,-0.5267,3
FoxNews,Tue Aug 28 23:20:50 +0000 2018,.@USCG and @USNavy bomb technicians are working to retrieve what looks like an unexploded mine that was spotted flo… https://t.co/9nxUVCEhu3,0.105,0.759,0.135,-0.1779,4
FoxNews,Tue Aug 28 23:19:03 +0000 2018,Google CEO slammed by lawmakers for declining to testify at Senate hearing. https://t.co/TDjJfdQd8r,0.0,1.0,0.0,0.0,5
FoxNews,Tue Aug 28 23:11:53 +0000 2018,"Sen. @ChrisCoons on calls for postponement of Kavanaugh proceedings: ""At the end of the day what matters here is, a… https://t.co/3Q9ihRRuFs",0.052,0.948,0.0,0.0258,6
FoxNews,Tue Aug 28 22:56:52 +0000 2018,".@POTUS honors anniversary of MLK 'I Have a Dream' speech touting his policies, hope for America https://t.co/xPX2JgNWF3",0.374,0.548,0.078,0.7579,7
FoxNews,Tue Aug 28 22:49:20 +0000 2018,"Secretary Mattis: ""We took the step to suspend several of the largest exercises as a good-faith measure coming out… https://t.co/5VdOHKTBCq",0.0,0.887,0.113,-0.3182,8
FoxNews,Tue Aug 28 22:37:38 +0000 2018,".@SenatorBerger: ""I think the fairest way to do it is to let the people elect the legislators and let the legislato… https://t.co/KOlrveb3lO",0.0,1.0,0.0,0.0,9
FoxNews,Tue Aug 28 22:26:59 +0000 2018,Phil Keating reports on the tight gubernatorial race in Florida. #SpecialReport  https://t.co/vRKSDUGh21 https://t.co/07aiV9PzT3,0.0,1.0,0.0,0.0,10
FoxNews,Tue Aug 28 22:20:42 +0000 2018,".@pdoocy reports on today's Arizona @GOP Senate primary, including problems with voting machines. #SpecialReport… https://t.co/SS3reyYSwW",0.0,0.838,0.162,-0.4019,11
FoxNews,Tue Aug 28 22:13:34 +0000 2018,Parents of baby misdiagnosed with terminal brain condition in utero left fate 'in God's hands'  https://t.co/auuUttgZpU,0.0,1.0,0.0,0.0,12
FoxNews,Tue Aug 28 22:03:25 +0000 2018,"Florida Senate race between Scott, Nelson expected to be competitive and costly. https://t.co/z1qUScfXfV",0.121,0.78,0.099,0.0772,13
FoxNews,Tue Aug 28 21:55:00 +0000 2018,Pope Francis facing calls to resign; sexual abuse scandal exposes rifts in the Vatican. https://t.co/AAQvL8xpIE,0.0,0.5,0.5,-0.875,14
FoxNews,Tue Aug 28 21:49:00 +0000 2018,Texas ex-cop Roy Oliver convicted of murdering unarmed teen Jordan Edwards. https://t.co/68b9xg76dM,0.0,0.719,0.281,-0.6486,15
FoxNews,Tue Aug 28 21:43:00 +0000 2018,California to become first state eliminating bail for suspects awaiting trial. https://t.co/BNqyCuUQU6,0.0,0.821,0.179,-0.34,16
FoxNews,Tue Aug 28 21:35:51 +0000 2018,"Trump factor looms large in the Florida gubernatorial primary.
https://t.co/mIB0pTwNlf",0.0,0.849,0.151,-0.1531,17
FoxNews,Tue Aug 28 21:30:13 +0000 2018,WATCH: Trump 'Red Cards' the Media at White House FIFA Event.  https://t.co/uOIuI6kz7C,0.0,1.0,0.0,0.0,18
FoxNews,Tue Aug 28 21:23:38 +0000 2018,Illinois community wants children's restaurant closed after video of fight goes viral. https://t.co/dMGwxxgQuY,0.0,0.822,0.178,-0.3818,19
FoxNews,Tue Aug 28 21:17:00 +0000 2018,"STDs hit all-time highs in US for fourth straight year, @CDCgov reports. https://t.co/pjFwidIX6Q",0.137,0.863,0.0,0.2263,20
FoxNews,Tue Aug 28 21:13:18 +0000 2018,"Texas man stops woman, 94, driving wrong way down highway. https://t.co/X2J9arVl0z",0.0,0.657,0.343,-0.5719,21
FoxNews,Tue Aug 28 21:02:58 +0000 2018,Arizona election officials work to fix problems with voting machines on primary day. https://t.co/QMoJFL3gn8,0.0,0.828,0.172,-0.4019,22
FoxNews,Tue Aug 28 20:56:49 +0000 2018,".@newtgingrich: ""If the Democrats win control of the House, it'll be a total mess for two solid years."" #Cavuto https://t.co/ojAg5wvCqN",0.226,0.669,0.105,0.4404,23
FoxNews,Tue Aug 28 20:45:00 +0000 2018,".@newtgingrich: ""The left in this country is now in a position where there's not much negotiation. Either they're g… https://t.co/PJj0t5LdBY",0.0,1.0,0.0,0.0,24
FoxNews,Tue Aug 28 20:42:39 +0000 2018,".@senrobportman: ""I think this [trade] agreement with Mexico is a step in the right direction."" #Cavuto https://t.co/s3SX4So20Q",0.176,0.824,0.0,0.4939,25
FoxNews,Tue Aug 28 20:27:42 +0000 2018,"Cynthia Nixon's team cites sexism over room temperature ahead of Cuomo debate, according to a report. https://t.co/mOUFoia1lo",0.0,1.0,0.0,0.0,26
FoxNews,Tue Aug 28 20:21:41 +0000 2018,Times Square street shut down after bees swarm hot dog stand. https://t.co/p1T6XiKZ2K,0.0,1.0,0.0,0.0,27
FoxNews,Tue Aug 28 20:18:53 +0000 2018,RT @FoxBusiness: AT THE CLOSE: The Nasdaq Composite ends at a new record high for the third consecutive trading day. https://t.co/TFdo1UXGR…,0.0,1.0,0.0,0.0,28
FoxNews,Tue Aug 28 20:10:29 +0000 2018,"Puerto Rico governor raises Hurricane Maria death toll from 64 to 2,975. https://t.co/uUadh2nfce",0.0,0.755,0.245,-0.5994,29
FoxNews,Tue Aug 28 20:04:21 +0000 2018,RT @ShepNewsTeam: Shep is live on Facebook Watch: https://t.co/icjH13MU8v,0.0,1.0,0.0,0.0,30
FoxNews,Tue Aug 28 20:02:23 +0000 2018,.@ShepNewsTeam is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/LPbFC2DBes,0.0,1.0,0.0,0.0,31
FoxNews,Tue Aug 28 19:53:07 +0000 2018,RT @ShepNewsTeam: An independent study reveals a higher death toll linked to Hurricane Maria in Puerto Rico than the government estimated.…,0.0,0.83,0.17,-0.5994,32
FoxNews,Tue Aug 28 19:46:00 +0000 2018,.@POTUS met with FIFA president Gianni Infantino in the Oval Office Tuesday and talked about the 2026 @FIFAWorldCup… https://t.co/UnGYoFck8v,0.0,1.0,0.0,0.0,33
FoxNews,Tue Aug 28 19:40:30 +0000 2018,"""It'll ultimately be paid for by Mexico."" — @POTUS responded to a question Tuesday about funding a U.S.-Mexico bord… https://t.co/Mh0reHgkbe",0.0,1.0,0.0,0.0,34
FoxNews,Tue Aug 28 19:33:31 +0000 2018,FIFA president Gianni Infantino gave @POTUS a yellow and red card during a meeting at the @WhiteHouse Tuesday https://t.co/8iTnA5feZu,0.0,1.0,0.0,0.0,35
FoxNews,Tue Aug 28 19:22:24 +0000 2018,.@POTUS presented with soccer jerseys during Oval Office meeting on the 2026 @FIFAWorldCup https://t.co/Ixp5xGGWfg,0.0,1.0,0.0,0.0,36
FoxNews,Tue Aug 28 19:18:40 +0000 2018,Arizona election officials report problems with voting machines on primary day https://t.co/XWWSyzeqHI,0.0,0.803,0.197,-0.4019,37
FoxNews,Tue Aug 28 19:10:27 +0000 2018,"Texan says he's selling 3-D printed gun plans, despite ruling https://t.co/7b2AB7nsyy",0.0,0.806,0.194,-0.34,38
FoxNews,Tue Aug 28 19:02:55 +0000 2018,"'He's Full of It': 'Outnumbered' Slams Lanny Davis After He Walks Back Claim About Cohen, Trump &amp; Russia… https://t.co/a7fPJy2mrU",0.0,1.0,0.0,0.0,39
FoxNews,Tue Aug 28 18:38:08 +0000 2018,".@LindseyGrahamSC remembering Senator John McCain: ""He could be tough but the joy that you received from being with… https://t.co/vaeHkcRzTD",0.222,0.725,0.053,0.714,40
FoxNews,Tue Aug 28 18:36:55 +0000 2018,".@LindseyGrahamSC remembering Senator John McCain: ""I learned that failure and success are different sides of the s… https://t.co/vve5ei9RL1",0.161,0.696,0.143,0.1027,41
FoxNews,Tue Aug 28 18:31:38 +0000 2018,".@LindseyGrahamSC on lessons learned from Senator John McCain's service to the country: ""I learned that serving a c… https://t.co/Qp3jCE3l3x",0.0,1.0,0.0,0.0,42
FoxNews,Tue Aug 28 18:29:56 +0000 2018,".@LindseyGrahamSC on Senator John McCain's concession speech in 2008: ""He healed the nation at a time he was hurt."" https://t.co/Sy5mxhqBQL",0.0,1.0,0.0,0.0,43
FoxNews,Tue Aug 28 18:15:44 +0000 2018,Senator @LindseyGrahamSC pays tribute to the life and legacy of his friend and colleague Senator John McCain.… https://t.co/4ZIUfbexnh,0.158,0.842,0.0,0.4939,44
FoxNews,Tue Aug 28 18:06:31 +0000 2018,"GOP rep touches off firestorm with claim FBI leaked info, used stories to get FISA warrants https://t.co/umb0G035Cw",0.0,0.874,0.126,-0.3182,45
FoxNews,Tue Aug 28 17:51:58 +0000 2018,Alabama school's hilarious 'opt out' fundraising letter goes viral https://t.co/V5tMaAm8cH,0.231,0.769,0.0,0.4019,46
FoxNews,Tue Aug 28 17:42:55 +0000 2018,".@DarrellIssa on DOJ official Bruce Ohr questioned on contacts with anti-Trump dossier author: ""Bruce Ohr is creati… https://t.co/pmOJQPOiyN",0.0,0.924,0.076,-0.1027,47
FoxNews,Tue Aug 28 17:31:35 +0000 2018,"Iran's president vows to overcome 'anti-Iranians' in White House, as lawmakers issue public rebuke https://t.co/MIRupiI3bj",0.0,1.0,0.0,0.0,48
FoxNews,Tue Aug 28 17:19:26 +0000 2018,Vets in tech: Silicon Valley must lead the way https://t.co/QrQp8bzmTw,0.0,1.0,0.0,0.0,49
FoxNews,Tue Aug 28 17:02:15 +0000 2018,K-pop band @BTS_twt beats Taylor Swift's YouTube record for most video views in 24 hours with song #IDOL https://t.co/3WYHm6GT5e,0.0,1.0,0.0,0.0,50
FoxNews,Tue Aug 28 16:56:32 +0000 2018,"RT @FoxBusiness: Former President Jimmy Carter: ""I don't talk about impeachment. I think that's the wrong thing for Democrats to do."" https…",0.0,0.866,0.134,-0.4767,51
FoxNews,Tue Aug 28 16:56:22 +0000 2018,"RT @FoxBusiness: Former President Jimmy Carter: ""The president has much less influence over the economy than is certainly publicized by the…",0.107,0.893,0.0,0.34,52
FoxNews,Tue Aug 28 16:55:42 +0000 2018,Arizona star pro athletes to participate in John McCain's funeral https://t.co/P1QHT830i3,0.0,0.8,0.2,-0.3612,53
FoxNews,Tue Aug 28 16:54:47 +0000 2018,OPINION: Trump replaces NAFTA and triumphs -- New trade deal with Mexico is YUGE win for both countries https://t.co/ZWpFE5RDtm,0.286,0.714,0.0,0.7783,54
FoxNews,Tue Aug 28 16:48:42 +0000 2018,"RT @FoxBusiness: Former President Jimmy Carter: ""The markets were very important to me."" https://t.co/7trFQv5lNa",0.139,0.861,0.0,0.2716,55
FoxNews,Tue Aug 28 16:48:36 +0000 2018,"RT @FoxBusiness: Former President Jimmy Carter: ""I think it's been proven that, on a number of occasions, President Trump has made statemen…",0.061,0.939,0.0,0.0772,56
FoxNews,Tue Aug 28 16:48:27 +0000 2018,"RT @FoxBusiness: Former President Jimmy Carter: ""I think we're going through a phase of difficulty. Our country is much more polarized than…",0.0,0.893,0.107,-0.34,57
FoxNews,Tue Aug 28 16:47:44 +0000 2018,"RT @FoxBusiness: Former President Jimmy Carter on @Habitat_org: ""It's very gratifying to us... I feel like we always get more out of it tha…",0.225,0.775,0.0,0.7264,58
FoxNews,Tue Aug 28 16:47:28 +0000 2018,.@adrienneelrod: “He wanted nominees who would vow to overturn Roe v. Wade.” https://t.co/QZnCwxyZmA,0.0,1.0,0.0,0.0,59
FoxNews,Tue Aug 28 16:35:29 +0000 2018,"Student arrested for stealing MAGA hat, slapping teacher in profanity-laced tirade https://t.co/WENe16aVd7",0.0,0.595,0.405,-0.7783,60
FoxNews,Tue Aug 28 16:28:26 +0000 2018,Soccer fan's celebration goes viral after ceremonial goal to honor father https://t.co/UB2ElR0Ytq,0.225,0.775,0.0,0.4939,61
FoxNews,Tue Aug 28 16:15:23 +0000 2018,Children's Advil bubble gum flavor recalled due to overdose concerns https://t.co/zcF9CIkF6d,0.0,1.0,0.0,0.0,62
FoxNews,Tue Aug 28 16:12:51 +0000 2018,University founded by George Soros stops courses for refugees due to new tax https://t.co/4y8n7sq4Pt,0.0,0.89,0.11,-0.1531,63
FoxNews,Tue Aug 28 16:09:53 +0000 2018,White House 'taking a look' at regulating Google https://t.co/1V3qcnI5j8,0.0,1.0,0.0,0.0,64
FoxNews,Tue Aug 28 15:53:31 +0000 2018,Doorbell camera captures fireball flashing through the sky in Missouri https://t.co/8HDY7nGiDW,0.0,1.0,0.0,0.0,65
FoxNews,Tue Aug 28 15:45:55 +0000 2018,Ben Affleck's reign as Batman may come to an end due to post-rehab insurance costs https://t.co/EIOzlApvLX,0.0,1.0,0.0,0.0,66
FoxNews,Tue Aug 28 15:43:14 +0000 2018,"Jim Brown Doubles Down on Anthem Stance, Trump Support https://t.co/v852JIeQpr https://t.co/D0IklYopxl",0.213,0.787,0.0,0.4019,67
FoxNews,Tue Aug 28 15:29:05 +0000 2018,"FBI agent says bureau leaked stories, then used them to get FISA warrants https://t.co/UYyjHCFdvc",0.0,0.85,0.15,-0.3182,68
FoxNews,Tue Aug 28 15:25:43 +0000 2018,"Viking Cruises bans children, says clients want kid-free vacations https://t.co/Ux39fljjc4",0.126,0.874,0.0,0.0772,69
FoxNews,Tue Aug 28 15:00:22 +0000 2018,"Bride cancels wedding, breaks up with fiancé after friends and family refuse to pay for $60K nuptials https://t.co/ImvzSrCzOS",0.137,0.619,0.243,-0.1027,70
FoxNews,Tue Aug 28 14:55:10 +0000 2018,Theresa May busts out dance moves during visit to South Africa https://t.co/XHRKq2kcTh,0.0,1.0,0.0,0.0,71
FoxNews,Tue Aug 28 14:41:59 +0000 2018,WATCH: Bruce Ohr Refuses to Answer Questions From Fox News' Herridge https://t.co/2LyRCpt0Gb,0.0,1.0,0.0,0.0,72
FoxNews,Tue Aug 28 14:33:40 +0000 2018,".@SenatorRounds: “The administration has taken the correct position suggesting that until we actually see progress,… https://t.co/oRtUfgKxZb",0.0,1.0,0.0,0.0,73
FoxNews,Tue Aug 28 14:28:59 +0000 2018,Army builds new self-propelled Howitzer - cannon will hit 43.5 miles https://t.co/RJZtIwh07q,0.0,1.0,0.0,0.0,74
FoxNews,Tue Aug 28 14:16:57 +0000 2018,.@SenJohnKennedy: “Senator McCain played outside the pocket. He was a warrior.” https://t.co/rhurGFJEuh,0.194,0.806,0.0,0.34,75
FoxNews,Tue Aug 28 14:10:10 +0000 2018,"DOJ official Bruce Ohr faces closed-door grilling over Trump dossier, Steele ties https://t.co/OCdo7LVgxB",0.0,1.0,0.0,0.0,76
FoxNews,Tue Aug 28 14:08:43 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""Right now is not the world's best time to negotiate with China."" https://t.co/59fppH32hT",0.0,0.826,0.174,-0.5216,77
FoxNews,Tue Aug 28 14:07:20 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss on trade agreement with Mexico: ""One of the purposes is to put wages up in Mexico."" https://t…",0.138,0.862,0.0,0.4939,78
FoxNews,Tue Aug 28 14:07:00 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""The Canadian economy really can't survive very well without a deal with the U.S. They're to…",0.0,0.899,0.101,-0.2572,79
FoxNews,Tue Aug 28 14:06:44 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss on trade: ""It's pretty important that we file something very, very promptly."" https://t.co/dk…",0.25,0.75,0.0,0.6124,80
FoxNews,Tue Aug 28 14:06:36 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""This deal is pretty well put together with Mexico. So the president, as he's indicated, is…",0.227,0.773,0.0,0.6486,81
FoxNews,Tue Aug 28 14:04:40 +0000 2018,Texans star JJ Watt's Hurricane Harvey effort raises record $41.6M https://t.co/ZPnFGrDeUu,0.215,0.785,0.0,0.4084,82
FoxNews,Tue Aug 28 13:43:33 +0000 2018,"'We Should Never Denigrate Our Flag': Jim Brown Doubles Down on Anthem Stance, Trump Support https://t.co/v852JIeQpr",0.153,0.847,0.0,0.4019,83
FoxNews,Tue Aug 28 13:27:11 +0000 2018,Court ruling against North Carolina districts could leave House control in limbo until 2019 https://t.co/m8zBrEPFAL,0.0,0.921,0.079,-0.0516,84
FoxNews,Tue Aug 28 13:02:52 +0000 2018,Tiger Woods' 'respect the office' statement about Trump blasted by ESPN host Max Kellerman https://t.co/SY3SQG545C,0.181,0.819,0.0,0.4767,85
FoxNews,Tue Aug 28 12:56:48 +0000 2018,"Firefighter, another bystander leap into action as gunfire rings out at New Mexico convenience store https://t.co/hQkie0aS5c",0.0,1.0,0.0,0.0,86
FoxNews,Tue Aug 28 12:53:28 +0000 2018,"Larry Kudlow: “Our deal with Mexico shows that free trade, fair trade can be done.” https://t.co/MQrxqgoQSz",0.286,0.714,0.0,0.6808,87
FoxNews,Tue Aug 28 12:49:38 +0000 2018,Larry Kudlow: “We would like to make a good deal with Canada.” https://t.co/XK25f4CbLa,0.351,0.649,0.0,0.6597,88
FoxNews,Tue Aug 28 12:43:16 +0000 2018,"Larry Kudlow: “It’s going to promote economic growth, both sides of the border.” https://t.co/aNaNYGVIFo",0.302,0.698,0.0,0.6369,89
FoxNews,Tue Aug 28 12:35:49 +0000 2018,Jim Brown: “We should never denigrate our flag and our national anthem.” https://t.co/Qm8GeEXYKS,0.0,1.0,0.0,0.0,90
FoxNews,Tue Aug 28 12:28:05 +0000 2018,Jim Brown: “This president is accessible and he’s different.” https://t.co/bF25orCsYZ,0.0,1.0,0.0,0.0,91
FoxNews,Tue Aug 28 12:24:04 +0000 2018,"GOP braces for Democratic investigation overload against Trump, if House flips https://t.co/EH02yxp07T",0.0,0.815,0.185,-0.3612,92
FoxNews,Tue Aug 28 12:11:31 +0000 2018,".@LindseyGrahamSC: “He was my mentor, he was my friend and I feel a real obligation to send him off well and to con… https://t.co/4OWs5jwtIq",0.209,0.791,0.0,0.6486,93
FoxNews,Tue Aug 28 11:50:39 +0000 2018,.@LindseyGrahamSC: “I’ve seen no evidence of collusion after two years.” https://t.co/QPhbYbbmJ1,0.0,0.82,0.18,-0.296,94
FoxNews,Tue Aug 28 11:41:27 +0000 2018,3-D printed gun ban extended by judge pending state challenge https://t.co/xesYOH4VxH https://t.co/pRJEECLfli,0.08,0.552,0.368,-0.6908,95
FoxNews,Tue Aug 28 11:40:16 +0000 2018,Seth Rogen's AMC series 'Preacher' features Nazi wearing MAGA hat in season finale https://t.co/meDDxKErUQ,0.0,1.0,0.0,0.0,96
FoxNews,Tue Aug 28 11:25:11 +0000 2018,"Stuart Varney: “It’s a win for President Trump, it’s a win for America.” https://t.co/ZtMtEKFwIK",0.432,0.568,0.0,0.8225,97
FoxNews,Tue Aug 28 11:09:18 +0000 2018,Florida town of Mayo changes name to 'Miracle Whip' https://t.co/7uX89rMAx5,0.297,0.703,0.0,0.5859,98
FoxNews,Tue Aug 28 11:00:36 +0000 2018,"Drake fan, 11, who got surprise hospital visit from rapper learns she's getting new heart https://t.co/j8G6bsvKh8",0.239,0.761,0.0,0.5267,99
FoxNews,Tue Aug 28 10:58:12 +0000 2018,Kelli Ward apologizes over comments on McCain's medical treatment announcement https://t.co/kXnmpMG2L7,0.2,0.8,0.0,0.3612,100
nytimes,Tue Aug 28 23:41:02 +0000 2018,"RT @joshbarone: Three male principal dancers are out at New York City Ballet: 
- Chase Finlay resigned
- Zachary Catazaro and Amar Ramasar…",0.0,0.909,0.091,-0.25,1
nytimes,Tue Aug 28 23:32:06 +0000 2018,Peter Polansky may be tennis’s luckiest loser. The Canadian player lost his way into the main draw of all of the Gr… https://t.co/ScUpCNy0sl,0.132,0.676,0.193,-0.2023,2
nytimes,Tue Aug 28 23:17:47 +0000 2018,"RT @shearm: Also, @realDonaldTrump noted that Pastor Jeffress said Trump is not ""the perfect human being, but he’s the greatest leader for…",0.209,0.719,0.072,0.7004,3
nytimes,Tue Aug 28 23:17:04 +0000 2018,RT @shearm: UPDATED SCOOP: I’ve added a bit more to my story about @realDonaldTrump remarks to evangelicals after getting more audio. POTUS…,0.104,0.896,0.0,0.3254,4
nytimes,Tue Aug 28 23:12:13 +0000 2018,First election results are coming in from Florida. Follow the vote here. https://t.co/7RamiEZNDR,0.0,1.0,0.0,0.0,5
nytimes,Tue Aug 28 23:02:08 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FeQdvkHIMy,0.0,1.0,0.0,0.0,6
nytimes,Tue Aug 28 22:47:02 +0000 2018,An ex-CIA officer running for Congress in Virginia accused a GOP super PAC of leaking her security clearance papers… https://t.co/28boJRpMTa,0.257,0.653,0.09,0.6249,7
nytimes,Tue Aug 28 22:31:06 +0000 2018,RT @tackettdc: A former CIA officer turned House candidate in Virginia says that a Republican-aligned Super Pac improperly disclosed her se…,0.178,0.822,0.0,0.5994,8
nytimes,Tue Aug 28 22:17:05 +0000 2018,Too many bees (and puns) to count at a Times Square hot dog stand https://t.co/blTQ0iuoi9,0.0,1.0,0.0,0.0,9
nytimes,Tue Aug 28 22:00:11 +0000 2018,A white former police officer in Texas was found guilty of murder after fatally shooting 15-year-old Jordan Edwards… https://t.co/kGBctvVZ8Z,0.0,0.562,0.438,-0.9136,10
nytimes,Tue Aug 28 21:45:01 +0000 2018,An audiotape of President Trump's remarks was provided to The New York Times by someone who attended the event. Her… https://t.co/aiyIt5m9mV,0.0,1.0,0.0,0.0,11
nytimes,Tue Aug 28 21:32:04 +0000 2018,"RT @cliffordlevy: @NYTMetro @palafo “In the bees’ brief brush with fame, they attracted hundreds of onlookers and inspired some embarrassin…",0.344,0.656,0.0,0.836,12
nytimes,Tue Aug 28 21:17:06 +0000 2018,What occurs during the life of a plant? Do telomeres play a role in longevity? https://t.co/eXGQGmLLh8,0.175,0.825,0.0,0.4137,13
nytimes,Tue Aug 28 21:00:25 +0000 2018,This Greek-style broiled shrimp recipe is ready in just 10 minutes https://t.co/ki2ksaU0Oe https://t.co/9NRxLEPyir,0.172,0.828,0.0,0.3612,14
nytimes,Tue Aug 28 20:45:08 +0000 2018,"RT @juliehdavis: ""You’re one election away from losing everything you’ve got,” Trump told evangelical leaders last night at the White House…",0.0,0.885,0.115,-0.3818,15
nytimes,Tue Aug 28 20:35:39 +0000 2018,"In remarks to evangelical ministers, President Trump spoke about religious liberty, abortion and youth unemployment… https://t.co/eg16hwGq8Q",0.185,0.815,0.0,0.5267,16
